Country Name,Country Code,Year,Life Expectancy,CO2,Injuries,Communicable,NonCommunicable,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
Afghanistan,AFG,0,56.308,-0.19988523472148403,0.14076723153287726,0.6257301535292172,0.3742698464707828,False,False,False,False,True,False,True,False,False
Angola,AGO,0,47.059,-0.17971610434370805,0.1004842034972211,0.8077400857549893,0.19225991424501065,False,False,False,False,False,True,False,True,False
Albania,ALB,0,74.288,-0.19657447792933433,0.17391306220721195,0.2092850455482181,0.7907149544517819,True,False,False,False,False,False,False,False,True
Andorra,AND,0,74.416,-0.2001633382920246,0.11847378629938182,0.0485312792174265,0.9514687207825735,True,False,False,False,False,False,False,False,False
United Arab Emirates,ARE,0,74.544,-0.0721297516260114,0.2644877601633352,0.11932432416868782,0.8806756758313122,False,False,True,False,False,False,False,False,False
Argentina,ARG,0,73.755,-0.03496981739092316,0.14592599785017268,0.1573472920199184,0.8426527079800815,False,True,False,False,False,False,False,False,True
Armenia,ARM,0,71.8,-0.19608448592409616,0.11612789791325172,0.13732240270428617,0.8626775972957138,True,False,False,False,False,False,False,False,True
American Samoa,ASM,0,72.9855,-0.19823647783899348,0.12304299760852427,0.2143764736656362,0.7856235263343638,False,False,False,False,False,False,False,False,True
Antigua and Barbuda,ATG,0,74.171,-0.20038846975389077,0.12528138395085547,0.18667217624268542,0.8133278237573146,False,True,False,False,False,False,False,False,False
Australia,AUS,0,79.63414634146342,0.2568800153506572,0.14021684714344188,0.04770195183279534,0.9522980481672046,False,False,False,False,False,False,False,False,False
Austria,AUT,0,78.57560975609756,-0.11091857820283728,0.11020854265837315,0.03564952894972527,0.9643504710502747,True,False,False,False,False,False,False,False,False
Azerbaijan,AZE,0,67.054,-0.16589038397969091,0.08649977785029192,0.33238147251437006,0.66761852748563,True,False,False,False,False,False,False,False,True
Burundi,BDI,0,49.93,-0.20058711516141975,0.20825950342088562,0.8237104988874144,0.17628950111258565,False,False,False,False,False,True,True,False,False
Belgium,BEL,0,77.97317073170734,-0.04413399219159353,0.13701816084610896,0.055894580763340446,0.9441054192366596,True,False,False,False,False,False,False,False,False
Benin,BEN,0,55.668,-0.19854768897745553,0.05334407330696272,0.7798175574819329,0.22018244251806704,False,False,False,False,False,True,False,True,False
Burkina Faso,BFA,0,50.893,-0.19956740206943765,0.04260632109501322,0.8097044288569938,0.19029557114300613,False,False,False,False,False,True,True,False,False
Bangladesh,BGD,0,65.956,-0.16671145166414403,0.10237958982239578,0.5884063231124087,0.4115936768875913,False,False,False,False,True,False,False,True,False
Bulgaria,BGR,0,71.76829268292684,-0.1396824332130339,0.11463081258841136,0.05584705275279112,0.9441529472472089,True,False,False,False,False,False,False,False,True
Bahrain,BHR,0,74.635,-0.1791466541754583,0.1624178361018907,0.12561262008185686,0.8743873799181431,False,False,True,False,False,False,False,False,False
Bosnia and Herzegovina,BIH,0,74.637,-0.1826295703207998,0.1299610765922533,0.07071731839190325,0.9292826816080968,True,False,False,False,False,False,False,False,True
Belarus,BLR,0,68.50731707317074,-0.13214715075410116,0.21900339721185738,0.05745973490247313,0.9425402650975269,True,False,False,False,False,False,False,False,True
Belize,BLZ,0,69.04,-0.200150095264856,0.25335211916152756,0.3342942486354148,0.6657057513645852,False,True,False,False,False,False,False,False,True
Bermuda,BMU,0,77.88536585365854,-0.19517071704946284,0.08355740803822569,0.10462383452052845,0.8953761654794715,False,False,False,True,False,False,False,False,False
